Tarih,Houses Sold
2015-01,86167
2015-02,95021
2015-03,116030
2015-04,119317
2015-05,107888
2015-06,110657
2015-07,96589
2015-08,112463
2015-09,92483
2015-10,104098
2015-11,106008
2015-12,142599
2016-01,84556
2016-02,101703
2016-03,117205
2016-04,106348
2016-05,114800
2016-06,106187
2016-07,81343
2016-08,114751
2016-09,108918
2016-10,130274
2016-11,132655
2016-12,142713
2017-01,95389
2017-02,101468
2017-03,128923
2017-04,114446
2017-05,116558
2017-06,97579
2017-07,115869
2017-08,120198
2017-09,140298
2017-10,122882
2017-11,122732
2017-12,132972
2018-01,97019
2018-02,95953
2018-03,110905
2018-04,103087
2018-05,119655
2018-06,119413
2018-07,123878
2018-08,105154
2018-09,127327
2018-10,146536
2018-11,89626
2018-12,136845
2019-01,72937
2019-02,78450
2019-03,105046
2019-04,96071
2019-05,91937
2019-06,61355
2019-07,102236
2019-08,110538
2019-09,146903
2019-10,142810
2019-11,138372
2019-12,202074
