Week,Keyword Search
2015-01-04,60
2015-01-11,61
2015-01-18,66
2015-01-25,70
2015-02-01,72
2015-02-08,73
2015-02-15,68
2015-02-22,73
2015-03-01,73
2015-03-08,73
2015-03-15,73
2015-03-22,73
2015-03-29,69
2015-04-05,70
2015-04-12,68
2015-04-19,65
2015-04-26,66
2015-05-03,63
2015-05-10,66
2015-05-17,64
2015-05-24,63
2015-05-31,60
2015-06-07,53
2015-06-14,60
2015-06-21,61
2015-06-28,62
2015-07-05,61
2015-07-12,53
2015-07-19,64
2015-07-26,65
2015-08-02,69
2015-08-09,67
2015-08-16,65
2015-08-23,66
2015-08-30,65
2015-09-06,58
2015-09-13,61
2015-09-20,53
2015-09-27,62
2015-10-04,60
2015-10-11,61
2015-10-18,59
2015-10-25,58
2015-11-01,59
2015-11-08,65
2015-11-15,67
2015-11-22,60
2015-11-29,62
2015-12-06,62
2015-12-13,64
2015-12-20,64
2015-12-27,59
2016-01-03,72
2016-01-10,71
2016-01-17,71
2016-01-24,74
2016-01-31,79
2016-02-07,83
2016-02-14,80
2016-02-21,89
2016-02-28,85
2016-03-06,88
2016-03-13,81
2016-03-20,84
2016-03-27,84
2016-04-03,81
2016-04-10,80
2016-04-17,83
2016-04-24,82
2016-05-01,75
2016-05-08,80
2016-05-15,78
2016-05-22,77
2016-05-29,73
2016-06-05,69
2016-06-12,71
2016-06-19,68
2016-06-26,64
2016-07-03,74
2016-07-10,74
2016-07-17,59
2016-07-24,71
2016-07-31,79
2016-08-07,82
2016-08-14,86
2016-08-21,85
2016-08-28,82
2016-09-04,79
2016-09-11,75
2016-09-18,84
2016-09-25,84
2016-10-02,88
2016-10-09,86
2016-10-16,83
2016-10-23,83
2016-10-30,82
2016-11-06,83
2016-11-13,81
2016-11-20,77
2016-11-27,81
2016-12-04,80
2016-12-11,72
2016-12-18,74
2016-12-25,73
2017-01-01,73
2017-01-08,77
2017-01-15,84
2017-01-22,85
2017-01-29,97
2017-02-05,100
2017-02-12,96
2017-02-19,100
2017-02-26,94
2017-03-05,89
2017-03-12,90
2017-03-19,90
2017-03-26,84
2017-04-02,87
2017-04-09,83
2017-04-16,78
2017-04-23,82
2017-04-30,84
2017-05-07,79
2017-05-14,82
2017-05-21,80
2017-05-28,77
2017-06-04,78
2017-06-11,75
2017-06-18,69
2017-06-25,82
2017-07-02,88
2017-07-09,83
2017-07-16,85
2017-07-23,87
2017-07-30,89
2017-08-06,83
2017-08-13,86
2017-08-20,81
2017-08-27,72
2017-09-03,83
2017-09-10,80
2017-09-17,83
2017-09-24,80
2017-10-01,84
2017-10-08,80
2017-10-15,84
2017-10-22,81
2017-10-29,78
2017-11-05,83
2017-11-12,83
2017-11-19,76
2017-11-26,79
2017-12-03,78
2017-12-10,80
2017-12-17,79
2017-12-24,74
2017-12-31,76
2018-01-07,84
2018-01-14,81
2018-01-21,78
2018-01-28,83
2018-02-04,88
2018-02-11,82
2018-02-18,84
2018-02-25,84
2018-03-04,81
2018-03-11,80
2018-03-18,85
2018-03-25,83
2018-04-01,82
2018-04-08,82
2018-04-15,74
2018-04-22,75
2018-04-29,74
2018-05-06,80
2018-05-13,78
2018-05-20,76
2018-05-27,78
2018-06-03,71
2018-06-10,65
2018-06-17,78
2018-06-24,72
2018-07-01,77
2018-07-08,80
2018-07-15,78
2018-07-22,79
2018-07-29,72
2018-08-05,72
2018-08-12,61
2018-08-19,75
2018-08-26,83
2018-09-02,82
2018-09-09,76
2018-09-16,67
2018-09-23,65
2018-09-30,67
2018-10-07,65
2018-10-14,65
2018-10-21,60
2018-10-28,61
2018-11-04,60
2018-11-11,58
2018-11-18,55
2018-11-25,56
2018-12-02,58
2018-12-09,58
2018-12-16,61
2018-12-23,59
2018-12-30,60
2019-01-06,60
2019-01-13,64
2019-01-20,65
2019-01-27,69
2019-02-03,71
2019-02-10,68
2019-02-17,68
2019-02-24,69
2019-03-03,71
2019-03-10,72
2019-03-17,72
2019-03-24,67
2019-03-31,54
2019-04-07,65
2019-04-14,63
2019-04-21,64
2019-04-28,64
2019-05-05,53
2019-05-12,59
2019-05-19,59
2019-05-26,54
2019-06-02,68
2019-06-09,67
2019-06-16,65
2019-06-23,65
2019-06-30,69
2019-07-07,72
2019-07-14,73
2019-07-21,71
2019-07-28,81
2019-08-04,82
2019-08-11,85
2019-08-18,92
2019-08-25,90
2019-09-01,85
2019-09-08,85
2019-09-15,81
2019-09-22,79
2019-09-29,84
2019-10-06,80
2019-10-13,80
2019-10-20,85
2019-10-27,85
2019-11-03,79
2019-11-10,82
2019-11-17,81
2019-11-24,77
2019-12-01,81
2019-12-08,83
2019-12-15,82
2019-12-22,80
2019-12-29,82
