Dates,Rate
02-01-2015,2.32
09-01-2015,2.33
16-01-2015,2.29
23-01-2015,2.33
30-01-2015,2.36
06-02-2015,2.42
13-02-2015,2.48
20-02-2015,2.45
27-02-2015,2.47
06-03-2015,2.53
13-03-2015,2.61
20-03-2015,2.61
27-03-2015,2.57
03-04-2015,2.61
10-04-2015,2.58
17-04-2015,2.67
24-04-2015,2.69
01-05-2015,2.70
08-05-2015,2.70
15-05-2015,2.67
22-05-2015,2.58
29-05-2015,2.62
05-06-2015,2.68
12-06-2015,2.73
19-06-2015,2.73
26-06-2015,2.68
03-07-2015,2.68
10-07-2015,2.68
17-07-2015,2.65
24-07-2015,2.68
31-07-2015,2.76
07-08-2015,2.78
14-08-2015,2.78
21-08-2015,2.88
28-08-2015,2.93
04-09-2015,2.93
11-09-2015,3.01
18-09-2015,3.03
25-09-2015,3.00
02-10-2015,3.03
09-10-2015,2.98
16-10-2015,2.92
23-10-2015,2.89
30-10-2015,2.89
06-11-2015,2.85
13-11-2015,2.89
20-11-2015,2.87
27-11-2015,2.86
04-12-2015,2.90
11-12-2015,2.90
18-12-2015,2.96
25-12-2015,2.92
01-01-2016,2.91
08-01-2016,2.97
15-01-2016,3.02
22-01-2016,3.04
29-01-2016,3.00
05-02-2016,2.95
12-02-2016,2.93
19-02-2016,2.95
26-02-2016,2.94
04-03-2016,2.94
11-03-2016,2.91
18-03-2016,2.88
25-03-2016,2.87
01-04-2016,2.85
08-04-2016,2.83
15-04-2016,2.85
22-04-2016,2.84
29-04-2016,2.83
06-05-2016,2.84
13-05-2016,2.94
20-05-2016,2.97
27-05-2016,2.96
03-06-2016,2.95
10-06-2016,2.91
17-06-2016,2.92
24-06-2016,2.90
01-07-2016,2.91
08-07-2016,2.88
15-07-2016,2.90
22-07-2016,2.98
29-07-2016,3.04
05-08-2016,3.00
12-08-2016,2.98
19-08-2016,2.94
26-08-2016,2.94
02-09-2016,2.95
09-09-2016,2.94
16-09-2016,2.96
23-09-2016,2.97
30-09-2016,2.98
07-10-2016,3.03
14-10-2016,3.07
21-10-2016,3.08
28-10-2016,3.08
04-11-2016,3.10
11-11-2016,3.17
18-11-2016,3.28
25-11-2016,3.38
02-12-2016,3.43
09-12-2016,3.47
16-12-2016,3.49
23-12-2016,3.50
30-12-2016,3.52
06-01-2017,3.56
13-01-2017,3.75
20-01-2017,3.78
27-01-2017,3.80
03-02-2017,3.80
10-02-2017,3.72
17-02-2017,3.67
24-02-2017,3.62
03-03-2017,3.62
10-03-2017,3.71
17-03-2017,3.73
24-03-2017,3.62
31-03-2017,3.62
07-04-2017,3.66
14-04-2017,3.70
21-04-2017,3.66
28-04-2017,3.59
05-05-2017,3.54
12-05-2017,3.57
19-05-2017,3.56
26-05-2017,3.57
02-06-2017,3.55
09-06-2017,3.52
16-06-2017,3.51
23-06-2017,3.52
30-06-2017,3.51
07-07-2017,3.56
14-07-2017,3.61
21-07-2017,3.54
28-07-2017,3.54
04-08-2017,3.53
11-08-2017,3.53
18-08-2017,3.53
25-08-2017,3.50
01-09-2017,3.45
08-09-2017,3.44
15-09-2017,3.42
22-09-2017,3.47
29-09-2017,3.53
06-10-2017,3.57
13-10-2017,3.66
20-10-2017,3.66
27-10-2017,3.71
03-11-2017,3.80
10-11-2017,3.85
17-11-2017,3.87
24-11-2017,3.92
01-12-2017,3.94
08-12-2017,3.89
15-12-2017,3.84
22-12-2017,3.84
29-12-2017,3.81
05-01-2018,3.76
12-01-2018,3.76
19-01-2018,3.79
26-01-2018,3.77
02-02-2018,3.76
09-02-2018,3.77
16-02-2018,3.80
23-02-2018,3.77
02-03-2018,3.79
09-03-2018,3.81
16-03-2018,3.85
23-03-2018,3.92
30-03-2018,3.98
06-04-2018,3.98
13-04-2018,4.09
20-04-2018,4.08
27-04-2018,4.07
04-05-2018,4.10
11-05-2018,4.27
18-05-2018,4.37
25-05-2018,4.63
01-06-2018,4.58
08-06-2018,4.60
15-06-2018,4.55
22-06-2018,4.72
29-06-2018,4.65
06-07-2018,4.64
13-07-2018,4.68
20-07-2018,4.83
27-07-2018,4.80
03-08-2018,4.92
10-08-2018,5.23
17-08-2018,6.26
24-08-2018,5.99
31-08-2018,6.20
07-09-2018,6.62
14-09-2018,6.43
21-09-2018,6.25
28-09-2018,6.16
05-10-2018,6.02
12-10-2018,6.10
19-10-2018,5.75
26-10-2018,5.69
02-11-2018,5.55
09-11-2018,5.40
16-11-2018,5.46
23-11-2018,5.33
30-11-2018,5.23
07-12-2018,5.27
14-12-2018,5.34
21-12-2018,5.34
28-12-2018,5.29
04-01-2019,5.33
11-01-2019,5.43
18-01-2019,5.43
25-01-2019,5.32
01-02-2019,5.27
08-02-2019,5.21
15-02-2019,5.26
22-02-2019,5.29
01-03-2019,5.31
08-03-2019,5.38
15-03-2019,5.45
22-03-2019,5.46
29-03-2019,5.51
05-04-2019,5.60
12-04-2019,5.66
19-04-2019,5.78
26-04-2019,5.84
03-05-2019,5.94
10-05-2019,6.09
17-05-2019,6.06
24-05-2019,6.07
31-05-2019,6.02
07-06-2019,5.86
14-06-2019,5.81
21-06-2019,5.84
28-06-2019,5.77
05-07-2019,5.66
12-07-2019,5.69
19-07-2019,5.69
26-07-2019,5.68
02-08-2019,5.59
09-08-2019,5.53
16-08-2019,5.53
23-08-2019,5.66
30-08-2019,5.80
06-09-2019,5.75
13-09-2019,5.73
20-09-2019,5.69
27-09-2019,5.69
04-10-2019,5.68
11-10-2019,5.79
18-10-2019,5.88
25-10-2019,5.78
01-11-2019,5.74
08-11-2019,5.72
15-11-2019,5.76
22-11-2019,5.72
29-11-2019,5.73
06-12-2019,5.74
13-12-2019,5.78
20-12-2019,5.86
27-12-2019,5.93
