Week,Keyword Search
2015-01-04,7
2015-01-11,8
2015-01-18,8
2015-01-25,9
2015-02-01,11
2015-02-08,10
2015-02-15,8
2015-02-22,10
2015-03-01,13
2015-03-08,15
2015-03-15,11
2015-03-22,11
2015-03-29,8
2015-04-05,9
2015-04-12,12
2015-04-19,10
2015-04-26,11
2015-05-03,10
2015-05-10,11
2015-05-17,11
2015-05-24,9
2015-05-31,10
2015-06-07,15
2015-06-14,11
2015-06-21,11
2015-06-28,10
2015-07-05,11
2015-07-12,11
2015-07-19,11
2015-07-26,11
2015-08-02,11
2015-08-09,12
2015-08-16,17
2015-08-23,14
2015-08-30,13
2015-09-06,12
2015-09-13,12
2015-09-20,11
2015-09-27,11
2015-10-04,12
2015-10-11,12
2015-10-18,9
2015-10-25,10
2015-11-01,15
2015-11-08,11
2015-11-15,9
2015-11-22,9
2015-11-29,9
2015-12-06,10
2015-12-13,10
2015-12-20,9
2015-12-27,8
2016-01-03,10
2016-01-10,9
2016-01-17,9
2016-01-24,11
2016-01-31,10
2016-02-07,10
2016-02-14,9
2016-02-21,10
2016-02-28,9
2016-03-06,11
2016-03-13,10
2016-03-20,9
2016-03-27,9
2016-04-03,10
2016-04-10,9
2016-04-17,10
2016-04-24,10
2016-05-01,13
2016-05-08,12
2016-05-15,10
2016-05-22,10
2016-05-29,11
2016-06-05,10
2016-06-12,9
2016-06-19,13
2016-06-26,10
2016-07-03,11
2016-07-10,14
2016-07-17,16
2016-07-24,17
2016-07-31,12
2016-08-07,11
2016-08-14,10
2016-08-21,9
2016-08-28,9
2016-09-04,12
2016-09-11,9
2016-09-18,10
2016-09-25,9
2016-10-02,11
2016-10-09,11
2016-10-16,11
2016-10-23,10
2016-10-30,11
2016-11-06,17
2016-11-13,20
2016-11-20,20
2016-11-27,21
2016-12-04,19
2016-12-11,13
2016-12-18,11
2016-12-25,7
2017-01-01,10
2017-01-08,21
2017-01-15,15
2017-01-22,13
2017-01-29,14
2017-02-05,13
2017-02-12,12
2017-02-19,11
2017-02-26,11
2017-03-05,11
2017-03-12,11
2017-03-19,10
2017-03-26,10
2017-04-02,9
2017-04-09,11
2017-04-16,11
2017-04-23,12
2017-04-30,10
2017-05-07,10
2017-05-14,10
2017-05-21,9
2017-05-28,10
2017-06-04,9
2017-06-11,10
2017-06-18,9
2017-06-25,10
2017-07-02,11
2017-07-09,11
2017-07-16,11
2017-07-23,10
2017-07-30,11
2017-08-06,11
2017-08-13,10
2017-08-20,10
2017-08-27,11
2017-09-03,13
2017-09-10,13
2017-09-17,12
2017-09-24,12
2017-10-01,12
2017-10-08,15
2017-10-15,12
2017-10-22,15
2017-10-29,13
2017-11-05,15
2017-11-12,12
2017-11-19,15
2017-11-26,14
2017-12-03,13
2017-12-10,13
2017-12-17,12
2017-12-24,11
2017-12-31,12
2018-01-07,12
2018-01-14,13
2018-01-21,11
2018-01-28,12
2018-02-04,12
2018-02-11,10
2018-02-18,11
2018-02-25,11
2018-03-04,10
2018-03-11,12
2018-03-18,13
2018-03-25,14
2018-04-01,14
2018-04-08,16
2018-04-15,13
2018-04-22,12
2018-04-29,13
2018-05-06,16
2018-05-13,20
2018-05-20,35
2018-05-27,22
2018-06-03,18
2018-06-10,19
2018-06-17,19
2018-06-24,23
2018-07-01,18
2018-07-08,28
2018-07-15,22
2018-07-22,22
2018-07-29,29
2018-08-05,84
2018-08-12,100
2018-08-19,41
2018-08-26,44
2018-09-02,38
2018-09-09,35
2018-09-16,30
2018-09-23,32
2018-09-30,29
2018-10-07,31
2018-10-14,42
2018-10-21,31
2018-10-28,30
2018-11-04,30
2018-11-11,25
2018-11-18,23
2018-11-25,23
2018-12-02,23
2018-12-09,20
2018-12-16,19
2018-12-23,16
2018-12-30,21
2019-01-06,23
2019-01-13,23
2019-01-20,20
2019-01-27,29
2019-02-03,26
2019-02-10,22
2019-02-17,24
2019-02-24,24
2019-03-03,28
2019-03-10,29
2019-03-17,39
2019-03-24,54
2019-03-31,29
2019-04-07,29
2019-04-14,28
2019-04-21,30
2019-04-28,26
2019-05-05,38
2019-05-12,31
2019-05-19,25
2019-05-26,25
2019-06-02,27
2019-06-09,26
2019-06-16,26
2019-06-23,30
2019-06-30,31
2019-07-07,26
2019-07-14,26
2019-07-21,28
2019-07-28,28
2019-08-04,29
2019-08-11,28
2019-08-18,28
2019-08-25,30
2019-09-01,27
2019-09-08,26
2019-09-15,23
2019-09-22,22
2019-09-29,22
2019-10-06,34
2019-10-13,32
2019-10-20,25
2019-10-27,22
2019-11-03,20
2019-11-10,20
2019-11-17,18
2019-11-24,16
2019-12-01,16
2019-12-08,17
2019-12-15,24
2019-12-22,21
2019-12-29,19
