Week,Keyword Search
2015-01-04,13
2015-01-11,8
2015-01-18,11
2015-01-25,13
2015-02-01,12
2015-02-08,13
2015-02-15,12
2015-02-22,22
2015-03-01,13
2015-03-08,13
2015-03-15,20
2015-03-22,12
2015-03-29,18
2015-04-05,21
2015-04-12,28
2015-04-19,41
2015-04-26,34
2015-05-03,41
2015-05-10,37
2015-05-17,42
2015-05-24,47
2015-05-31,43
2015-06-07,41
2015-06-14,50
2015-06-21,60
2015-06-28,62
2015-07-05,56
2015-07-12,47
2015-07-19,68
2015-07-26,58
2015-08-02,57
2015-08-09,51
2015-08-16,58
2015-08-23,52
2015-08-30,37
2015-09-06,42
2015-09-13,38
2015-09-20,27
2015-09-27,35
2015-10-04,30
2015-10-11,19
2015-10-18,21
2015-10-25,15
2015-11-01,32
2015-11-08,29
2015-11-15,20
2015-11-22,10
2015-11-29,7
2015-12-06,3
2015-12-13,7
2015-12-20,5
2015-12-27,7
2016-01-03,4
2016-01-10,3
2016-01-17,5
2016-01-24,4
2016-01-31,5
2016-02-07,5
2016-02-14,5
2016-02-21,3
2016-02-28,5
2016-03-06,6
2016-03-13,3
2016-03-20,8
2016-03-27,2
2016-04-03,6
2016-04-10,3
2016-04-17,7
2016-04-24,6
2016-05-01,8
2016-05-08,9
2016-05-15,10
2016-05-22,7
2016-05-29,13
2016-06-05,9
2016-06-12,8
2016-06-19,20
2016-06-26,21
2016-07-03,26
2016-07-10,18
2016-07-17,16
2016-07-24,12
2016-07-31,13
2016-08-07,13
2016-08-14,18
2016-08-21,14
2016-08-28,21
2016-09-04,20
2016-09-11,20
2016-09-18,22
2016-09-25,22
2016-10-02,22
2016-10-09,19
2016-10-16,18
2016-10-23,20
2016-10-30,17
2016-11-06,3
2016-11-13,5
2016-11-20,9
2016-11-27,8
2016-12-04,4
2016-12-11,10
2016-12-18,9
2016-12-25,9
2017-01-01,7
2017-01-08,13
2017-01-15,11
2017-01-22,12
2017-01-29,9
2017-02-05,6
2017-02-12,11
2017-02-19,15
2017-02-26,18
2017-03-05,14
2017-03-12,28
2017-03-19,31
2017-03-26,23
2017-04-02,29
2017-04-09,27
2017-04-16,30
2017-04-23,36
2017-04-30,59
2017-05-07,59
2017-05-14,56
2017-05-21,49
2017-05-28,66
2017-06-04,61
2017-06-11,73
2017-06-18,71
2017-06-25,72
2017-07-02,76
2017-07-09,80
2017-07-16,86
2017-07-23,100
2017-07-30,76
2017-08-06,78
2017-08-13,64
2017-08-20,63
2017-08-27,79
2017-09-03,49
2017-09-10,53
2017-09-17,55
2017-09-24,67
2017-10-01,58
2017-10-08,43
2017-10-15,23
2017-10-22,20
2017-10-29,20
2017-11-05,14
2017-11-12,13
2017-11-19,9
2017-11-26,9
2017-12-03,12
2017-12-10,12
2017-12-17,10
2017-12-24,11
2017-12-31,16
2018-01-07,19
2018-01-14,16
2018-01-21,20
2018-01-28,18
2018-02-04,22
2018-02-11,22
2018-02-18,19
2018-02-25,28
2018-03-04,20
2018-03-11,28
2018-03-18,27
2018-03-25,35
2018-04-01,33
2018-04-08,42
2018-04-15,43
2018-04-22,46
2018-04-29,61
2018-05-06,72
2018-05-13,61
2018-05-20,84
2018-05-27,70
2018-06-03,74
2018-06-10,65
2018-06-17,78
2018-06-24,80
2018-07-01,84
2018-07-08,67
2018-07-15,78
2018-07-22,69
2018-07-29,78
2018-08-05,65
2018-08-12,74
2018-08-19,66
2018-08-26,72
2018-09-02,58
2018-09-09,59
2018-09-16,71
2018-09-23,57
2018-09-30,55
2018-10-07,47
2018-10-14,37
2018-10-21,42
2018-10-28,24
2018-11-04,25
2018-11-11,18
2018-11-18,14
2018-11-25,22
2018-12-02,22
2018-12-09,9
2018-12-16,14
2018-12-23,20
2018-12-30,21
2019-01-06,26
2019-01-13,31
2019-01-20,38
2019-01-27,41
2019-02-03,31
2019-02-10,29
2019-02-17,29
2019-02-24,32
2019-03-03,26
2019-03-10,38
2019-03-17,33
2019-03-24,39
2019-03-31,52
2019-04-07,47
2019-04-14,58
2019-04-21,55
2019-04-28,77
2019-05-05,70
2019-05-12,79
2019-05-19,75
2019-05-26,77
2019-06-02,87
2019-06-09,87
2019-06-16,71
2019-06-23,80
2019-06-30,100
2019-07-07,92
2019-07-14,100
2019-07-21,93
2019-07-28,97
2019-08-04,82
2019-08-11,82
2019-08-18,80
2019-08-25,77
2019-09-01,75
2019-09-08,76
2019-09-15,85
2019-09-22,64
2019-09-29,63
2019-10-06,60
2019-10-13,54
2019-10-20,47
2019-10-27,37
2019-11-03,31
2019-11-10,22
2019-11-17,20
2019-11-24,21
2019-12-01,20
2019-12-08,20
2019-12-15,19
2019-12-22,20
2019-12-29,19
