Tarih,reserveamount
04-01-2013,101731
11-01-2013,101213
18-01-2013,103531
25-01-2013,103550
01-02-2013,105311
08-02-2013,105529
15-02-2013,104998
22-02-2013,104437
01-03-2013,104206
08-03-2013,104162
15-03-2013,105057
22-03-2013,104986
29-03-2013,105650
05-04-2013,106108
12-04-2013,108913
19-04-2013,110466
26-04-2013,113269
03-05-2013,113283
10-05-2013,110250
17-05-2013,109076
24-05-2013,108758
31-05-2013,108773
07-06-2013,108104
14-06-2013,108573
21-06-2013,107641
28-06-2013,105566
05-07-2013,106910
12-07-2013,103421
19-07-2013,103095
26-07-2013,104303
02-08-2013,107867
09-08-2013,107832
16-08-2013,109250
23-08-2013,108563
30-08-2013,108615
06-09-2013,108669
13-09-2013,105788
20-09-2013,105289
27-09-2013,108884
04-10-2013,108276
11-10-2013,111716
18-10-2013,111833
25-10-2013,112731
01-11-2013,112397
08-11-2013,112759
15-11-2013,113917
22-11-2013,113695
29-11-2013,114282
06-12-2013,114819
13-12-2013,115144
20-12-2013,114194
27-12-2013,112002
03-01-2014,110316
10-01-2014,109709
17-01-2014,106878
24-01-2014,102411
31-01-2014,104627
07-02-2014,102057
14-02-2014,103221
21-02-2014,104303
28-02-2014,106453
07-03-2014,106822
14-03-2014,107069
21-03-2014,105823
28-03-2014,105897
04-04-2014,105112
11-04-2014,107663
18-04-2014,107027
25-04-2014,108989
02-05-2014,108904
09-05-2014,108952
16-05-2014,108398
23-05-2014,109746
30-05-2014,110337
06-06-2014,110423
13-06-2014,110176
20-06-2014,110068
27-06-2014,111901
04-07-2014,113442
11-07-2014,112117
18-07-2014,112526
25-07-2014,111738
01-08-2014,112398
08-08-2014,112476
15-08-2014,114030
22-08-2014,113868
29-08-2014,112929
05-09-2014,113326
12-09-2014,111819
19-09-2014,111381
26-09-2014,112773
03-10-2014,112742
10-10-2014,113561
17-10-2014,113269
24-10-2014,112362
31-10-2014,112710
07-11-2014,113332
14-11-2014,113108
21-11-2014,112567
28-11-2014,113159
05-12-2014,111700
12-12-2014,111847
19-12-2014,107210
26-12-2014,106314
02-01-2015,108030
09-01-2015,107502
16-01-2015,109790
23-01-2015,108753
30-01-2015,109639
06-02-2015,110037
13-02-2015,108218
20-02-2015,107330
27-02-2015,108641
06-03-2015,108015
13-03-2015,105962
20-03-2015,102022
27-03-2015,103474
03-04-2015,102056
10-04-2015,102629
17-04-2015,103244
24-04-2015,102801
01-05-2015,103440
08-05-2015,102630
15-05-2015,102505
22-05-2015,101515
29-05-2015,101329
05-06-2015,103107
12-06-2015,103060
19-06-2015,101726
26-06-2015,100771
03-07-2015,101873
10-07-2015,101960
17-07-2015,101862
24-07-2015,100454
31-07-2015,102532
07-08-2015,102372
14-08-2015,102214
21-08-2015,101915
28-08-2015,102287
04-09-2015,102296
11-09-2015,100936
18-09-2015,100380
25-09-2015,99599
02-10-2015,99966
09-10-2015,99684
16-10-2015,99535
23-10-2015,100468
30-10-2015,100121
06-11-2015,101191
13-11-2015,100506
20-11-2015,99531
27-11-2015,99707
04-12-2015,98500
11-12-2015,98912
18-12-2015,95982
25-12-2015,95703
01-01-2016,92922
08-01-2016,94920
15-01-2016,93646
22-01-2016,93417
29-01-2016,92856
05-02-2016,93236
12-02-2016,93905
19-02-2016,92870
26-02-2016,93693
04-03-2016,93045
11-03-2016,95792
18-03-2016,95430
25-03-2016,95016
01-04-2016,95280
08-04-2016,97354
15-04-2016,97119
22-04-2016,95481
29-04-2016,96193
06-05-2016,99525
13-05-2016,100138
20-05-2016,98133
27-05-2016,98397
03-06-2016,101225
10-06-2016,102999
17-06-2016,101639
24-06-2016,101895
01-07-2016,102817
08-07-2016,102857
15-07-2016,103111
22-07-2016,101827
29-07-2016,99927
05-08-2016,101145
12-08-2016,102978
19-08-2016,104035
26-08-2016,102781
02-09-2016,103648
09-09-2016,104711
16-09-2016,104164
23-09-2016,103344
30-09-2016,99009
07-10-2016,99915
14-10-2016,100926
21-10-2016,101498
28-10-2016,101626
04-11-2016,103810
11-11-2016,106265
18-11-2016,101277
25-11-2016,99034
02-12-2016,98632
09-12-2016,97353
16-12-2016,97315
23-12-2016,95734
30-12-2016,92050
06-01-2017,96933
13-01-2017,95292
20-01-2017,92296
27-01-2017,92517
03-02-2017,91522
10-02-2017,92798
17-02-2017,89049
24-02-2017,91088
03-03-2017,89234
10-03-2017,92741
17-03-2017,91806
24-03-2017,89958
31-03-2017,88577
07-04-2017,88925
14-04-2017,87719
21-04-2017,85538
28-04-2017,84986
05-05-2017,88108
12-05-2017,87461
19-05-2017,87014
26-05-2017,86971
02-06-2017,87963
09-06-2017,88601
16-06-2017,90667
23-06-2017,89059
30-06-2017,90196
07-07-2017,90113
14-07-2017,86230
21-07-2017,85822
28-07-2017,87466
04-08-2017,88979
11-08-2017,88312
18-08-2017,87575
25-08-2017,90412
01-09-2017,91483
08-09-2017,91975
15-09-2017,91393
22-09-2017,91417
29-09-2017,91503
06-10-2017,93653
13-10-2017,95402
20-10-2017,93451
27-10-2017,95480
03-11-2017,96316
10-11-2017,96729
17-11-2017,94536
24-11-2017,96350
01-12-2017,89854
08-12-2017,92023
15-12-2017,91109
22-12-2017,88701
29-12-2017,84110
05-01-2018,87466
12-01-2018,87643
19-01-2018,89179
26-01-2018,91391
02-02-2018,90917
09-02-2018,90914
16-02-2018,90352
23-02-2018,88654
02-03-2018,89302
09-03-2018,90575
16-03-2018,89788
23-03-2018,88303
30-03-2018,84701
06-04-2018,83079
13-04-2018,86652
20-04-2018,86070
27-04-2018,87573
04-05-2018,86173
11-05-2018,85623
18-05-2018,84708
25-05-2018,83762
01-06-2018,82164
08-06-2018,82218
15-06-2018,78939
22-06-2018,80129
29-06-2018,75565
06-07-2018,79094
13-07-2018,78534
20-07-2018,78549
27-07-2018,78329
03-08-2018,80793
10-08-2018,79147
17-08-2018,72739
24-08-2018,72924
31-08-2018,70413
07-09-2018,70173
14-09-2018,68921
21-09-2018,66349
28-09-2018,66989
05-10-2018,66287
12-10-2018,66402
19-10-2018,65271
26-10-2018,67605
02-11-2018,69184
09-11-2018,69471
16-11-2018,71008
23-11-2018,71157
30-11-2018,71699
07-12-2018,71390
14-12-2018,72929
21-12-2018,72269
28-12-2018,71980
04-01-2019,72930
11-01-2019,72450
18-01-2019,73830
25-01-2019,73470
01-02-2019,77058
08-02-2019,78382
15-02-2019,78125
22-02-2019,79122
01-03-2019,79095
08-03-2019,76963
15-03-2019,73782
22-03-2019,71394
29-03-2019,75407
05-04-2019,76679
12-04-2019,76955
19-04-2019,75565
26-04-2019,73284
03-05-2019,72632
10-05-2019,72993
17-05-2019,71747
24-05-2019,73092
31-05-2019,75038
07-06-2019,74895
14-06-2019,75755
21-06-2019,74225
28-06-2019,73544
05-07-2019,74123
12-07-2019,75682
19-07-2019,75067
26-07-2019,74970
02-08-2019,75399
09-08-2019,79216
16-08-2019,77422
23-08-2019,76825
30-08-2019,75796
06-09-2019,76285
13-09-2019,75923
20-09-2019,77184
27-09-2019,75655
04-10-2019,79841
11-10-2019,78395
18-10-2019,78085
25-10-2019,78504
01-11-2019,78274
08-11-2019,75429
15-11-2019,78052
22-11-2019,78812
29-11-2019,78273
06-12-2019,79045
13-12-2019,77897
20-12-2019,78271
27-12-2019,81240
